,Unnamed: 0,title,view,like,unlike,date,token
1148,1148,고양이와 나 이원석데이브레이크 - 좋다,3705.0,116.0,0.0,2016. 3. 12.,"['데이', '이원', '고양이', '브레이크']"
1149,1149,네모라이브 유주여자친구X선율업텐션 - 보일 듯 말듯,135789.0,2000.0,34.0,2016. 3. 11.,"['네모', '친구', '선율', '라이브', '유주', '텐션', '여자']"
1150,1150,세로라이브 유주여자친구X선율업텐션 - 보일 듯 말 듯,559060.0,8000.0,113.0,2016. 3. 11.,"['선율', '친구', '라이브', '유주', '텐션', '세로', '여자']"
1151,1151,여보세요라이브 솔지EXID편,55044.0,784.0,6.0,2016. 3. 8.,"['보세', '라이브']"
1152,1152,캘리 가사집 XIA - 꼭 어제,3559.0,87.0,0.0,2016. 3. 6.,"['가사', '어제']"
1153,1153,캘리 가사집 박원 - 나를 좋아하지 않는 그대에게,2471.0,26.0,0.0,2016. 3. 6.,"['가사', '박원']"
1154,1154,캘리 가사집 규현 - 밀리언조각,3529.0,64.0,0.0,2016. 3. 6.,"['조각', '밀리언', '가사']"
1155,1155,여보세요라이브 하니EXID편,51267.0,622.0,10.0,2016. 3. 6.,"['보세', '라이브', '하니']"
1156,1156,EXID X Dingo Music 솔지 하니 - Only One 뮤직비디오,13402.0,368.0,2.0,2016. 3. 3.,['뮤직비디오']
1157,1157,세로라이브 슬옹 & 윤현상 - 뭔가 될 것 같은 날,33289.0,518.0,3.0,2016. 2. 27.,"['세로', '라이브', '현상']"
1158,1158,Teaser EXID - Only one,20274.0,349.0,3.0,2016. 2. 25.,[]
1159,1159,캘리 가사집 성시경 - 외워두세요,4110.0,43.0,0.0,2016. 2. 23.,"['성시', '가사']"
1160,1160,캘리 가사집 MC the Max - 어디에도,6455.0,50.0,2.0,2016. 2. 20.,['가사']
1161,1161,캘리 가사집 기리보이 - 한잔해요,4062.0,53.0,0.0,2016. 2. 19.,"['한잔', '가사']"
1162,1162,이슬라이브 버즈 - My Love,1660836.0,9000.0,116.0,2016. 2. 18.,"['라이브', '버즈', '이슬']"
1163,1163,캘리 가사집 새봄 - 취기를 빌려,3515.0,33.0,0.0,2016. 2. 18.,"['새봄', '취기', '가사']"
1164,1164,캘리 가사집 어쿠루브 - 고백,4531.0,56.0,0.0,2016. 2. 18.,"['고백', '가사']"
